Area,Date,Assets,,,,,,,,
UK,07/03/2020,695052,,,,,,,,
UK,07/10/2020,706027,,,,,,,,
UK,17/07/2020,708984,,,,,,,,
UK,24/07/2020,705387,,,,,,,,
UK,31/07/2020,710964,,,,,,,,
UK,08/07/2020,721079,,,,,,,,
UK,14/08/2020,723510,,,,,,,,
UK,21/08/2020,729045,,,,,,,,
UK,28/08/2020,735560,,,,,,,,
UK,09/04/2020,732945,,,,,,,,
UK,09/11/2020,720979,,,,,,,,
UK,18/09/2020,720704,,,,,,,,
UK,25/09/2020,722703,,,,,,,,
UK,10/02/2020,731618,,,,,,,,
UK,10/09/2020,740507,,,,,,,,
UK,16/10/2020,745080,,,,,,,,
UK,23/10/2020,747633,,,,,,,,
UK,30/10/2020,754166,,,,,,,,
UK,11/06/2020,761947,,,,,,,,
UK,13/11/2020,766661,,,,,,,,
UK,20/11/2020,768196,,,,,,,,
UK,27/11/2020,770091,,,,,,,,
UK,12/04/2020,769745,,,,,,,,
UK,12/11/2020,767734,,,,,,,,
UK,18/12/2020,772815,,,,,,,,
UK,25/12/2020,770976,,,,,,,,
UK,01/01/2021,767807,,,,,,,,
UK,01/08/2021,770506,,,,,,,,
UK,15/01/2021,775003,,,,,,,,
UK,22/01/2021,762656,,,,,,,,
UK,29/01/2021,778484,,,,,,,,
UK,02/05/2021,787616,,,,,,,,
UK,02/12/2021,790165,,,,,,,,
UK,19/02/2021,794321,,,,,,,,
UK,26/02/2021,796625,,,,,,,,
UK,03/05/2021,800586,,,,,,,,
UK,03/12/2021,800148,,,,,,,,
UK,19/03/2021,803668,,,,,,,,
UK,26/03/2021,799930,,,,,,,,
UK,04/02/2021,790041,,,,,,,,
UK,04/09/2021,798915,,,,,,,,
UK,16/04/2021,807331,,,,,,,,
UK,23/04/2021,812487,,,,,,,,
UK,30/04/2021,816480,,,,,,,,
UK,05/07/2021,825973,,,,,,,,
UK,14/05/2021,827491,,,,,,,,
UK,21/05/2021,827305,,,,,,,,
UK,28/05/2021,831499,,,,,,,,
UK,06/04/2021,829441,,,,,,,,
UK,06/11/2021,823889,,,,,,,,
UK,18/06/2021,831147,,,,,,,,
UK,25/06/2021,829727,,,,,,,,
UK,07/02/2021,827659,,,,,,,,
UK,07/09/2021,839382,,,,,,,,
UK,16/07/2021,843402,,,,,,,,
UK,23/07/2021,845644,,,,,,,,
